estado,municipio,zona_sismica_CFE,grado_peligro_inundacion_CENAPRED,grado_vulnerabilidad_social_CENAPRED,tiene_ARM,z_sis,z_inund,z_vuln,sin_arm,s_sis,s_inund,s_vuln,beneficio,costo
Colima,Colima,D,Medio,Bajo,Sí,4,3,2,0,1.0,0.5,0.25,0.5625,70000
Colima,Comala,D,Bajo,Bajo,No,4,2,2,1,1.0,0.25,0.25,0.5875,100000
Colima,Coquimatlán,D,Alto,Medio,Sí,4,4,3,0,1.0,0.75,0.5,0.7,70000
Colima,Cuauhtémoc,D,Bajo,Bajo,Sí,4,2,2,0,1.0,0.25,0.25,0.4875,70000
Colima,Ixtlahuacán,D,Alto,Alto,No,4,4,4,1,1.0,0.75,0.75,0.8624999999999999,100000
Colima,Manzanillo,D,Muy alto,Bajo,Sí,4,5,2,0,1.0,1.0,0.25,0.7124999999999999,70000
Colima,Minatitlán,D,Medio,Alto,No,4,3,4,1,1.0,0.5,0.75,0.7875,100000
Colima,Tecomán,D,Alto,Medio,Sí,4,4,3,0,1.0,0.75,0.5,0.7,70000
Colima,Villa de Álvarez,D,Bajo,Bajo,Sí,4,2,2,0,1.0,0.25,0.25,0.4875,70000
Colima,Armería,D,Muy alto,Medio,Sí,4,5,3,0,1.0,1.0,0.5,0.7749999999999999,70000
Nayarit,Acaponeta,C,Alto,Alto,Sí,3,4,4,0,0.6666666666666666,0.75,0.75,0.6458333333333333,50000
Nayarit,Ahuacatlán,B,Bajo,Medio,No,2,2,3,1,0.3333333333333333,0.25,0.5,0.41666666666666663,80000
Nayarit,Amatlán de Cañas,C,Medio,Medio,No,3,3,3,1,0.6666666666666666,0.5,0.5,0.6083333333333333,80000
Nayarit,Compostela,D,Alto,Medio,Sí,4,4,3,0,1.0,0.75,0.5,0.7,70000
Nayarit,El Nayar,B,Bajo,Muy alto,No,2,2,5,1,0.3333333333333333,0.25,1.0,0.5416666666666666,80000
Nayarit,Huajicori,B,Medio,Muy alto,No,2,3,5,1,0.3333333333333333,0.5,1.0,0.6166666666666666,80000
Nayarit,Ixtlán del Río,C,Medio,Medio,No,3,3,3,1,0.6666666666666666,0.5,0.5,0.6083333333333333,80000
Nayarit,Jala,C,Bajo,Medio,No,3,2,3,1,0.6666666666666666,0.25,0.5,0.5333333333333333,80000
Nayarit,La Yesca,B,Bajo,Muy alto,No,2,2,5,1,0.3333333333333333,0.25,1.0,0.5416666666666666,80000
Nayarit,Rosamorada,C,Alto,Alto,Sí,3,4,4,0,0.6666666666666666,0.75,0.75,0.6458333333333333,50000
Nayarit,Ruíz,C,Medio,Alto,No,3,3,4,1,0.6666666666666666,0.5,0.75,0.6708333333333333,80000
Nayarit,San Blas,D,Muy alto,Medio,Sí,4,5,3,0,1.0,1.0,0.5,0.7749999999999999,70000
