estado,municipio,zona_sismica_CFE,grado_peligro_inundacion_CENAPRED,grado_vulnerabilidad_social_CENAPRED,tiene_ARM,beneficio,costo
Michoacán,Aquila,D,Muy alto,Muy alto,No,0.9999999999999999,100000
Jalisco,Cabo Corrientes,D,Muy alto,Alto,No,0.9374999999999999,100000
Michoacán,Ixtlán,D,Muy alto,Alto,No,0.9374999999999999,100000
Michoacán,Coahuayana,D,Muy alto,Alto,No,0.9374999999999999,100000
Michoacán,Churumuco,D,Alto,Muy alto,No,0.9249999999999999,100000
Jalisco,La Huerta,D,Muy alto,Medio,No,0.8749999999999999,100000
Michoacán,Múgica,D,Alto,Alto,No,0.8624999999999999,100000
Jalisco,Casimiro Castillo,D,Alto,Alto,No,0.8624999999999999,100000
Jalisco,Cuautitlán de García Barragán,D,Alto,Alto,No,0.8624999999999999,100000
Michoacán,La Huacana,D,Alto,Alto,No,0.8624999999999999,100000
